"","panjivarecordid","billOfLadingNumber","shpmtDate","shpName","shpFullAddress","shpRoute","shpCity","shpStateRegion","shpPostalCode","shpCountry","shpPanjivaId","shpOriginalFormat","carrier","shpmtDestination","portOfLading","portOfLadingRegion","portOfLadingCountry","portOfUnlading","portOfUnladingRegion","portofUnladingCountry","placeOfReceipt","vessel","vesselCountry","transportFlightCode","isContainerized","volumeTEU","itemquantity","weightkg","weightt","weightoriginalformat","valueofgoodsusd","equipmenttype","equipmentdimensions","dividedlcl","filedate"
"11",38714993,"NAM3986670",2020-08-09,"Sachin Steel Inc.","45662 TERMINAL DRIVE SUITE 105 DULLES, VA 20166","23950 Wind Sock Drive","Sterling","Virginia","20166","United States","48323030","Sachin Steel Inc","CMDU - Cma Cgm","Turkey","Georgia Ports Authority, Savannah, Georgia","Southeast Region","United States","Gebze, Turkey","Western Asia","Turkey","","Vienna Express","","",1,2,"See Container Quantities column","55504",55.504,"55504.0 kg","269000",NA,"","",2020-10-29
"12",38714265,"NAM3979125",2020-08-09,"Cedars Express International Inc.","2751 E. EL PRESIDIO ST CARSON CA 90810","960 East Walnut Street","Carson","California","90746","United States","4169210","Cedars Express Intl Inc","CMDU - Cma Cgm","Libya","Georgia Ports Authority, Savannah, Georgia","Southeast Region","United States","Benghazi, Libya","Northern Africa","Libya","Memphis, Tn","Vienna Express","","",1,2,"See Container Quantities column","2124",2.124,"2124.0 kg","",NA,"","",2020-10-29
"13",38715365,"NAM9304913",2020-08-09,"Crisa Middle East Offshore Sal","BIR HASSAN SAFARAT ST SARAH BLDG BEIRUT - LEBANON TEL: 961 1 849111 FAX: 961 1 849111","100 Rue Du Liban","Tabaris","Beirut Governorate","","Lebanon","87553266","Crisa Middle East Offshore Sal","CMDU - Cma Cgm","Ghana","Georgia Ports Authority, Savannah, Georgia","Southeast Region","United States","Tema, Ghana","Western Africa","Ghana","","Vienna Express","","",1,2,"See Container Quantities column","15477",15.477,"15477.0 kg","258000",NA,"","",2020-10-29
"14",50879401,"KKLUPCC042248",2020-04-29,"General Motors","300 RENAISSANCE CENTER DETROIT, MI 48265-3000","300 Renaissance Center","Detroit","Michigan","48243","United States","27755835","General Motors Overseas","KKLU - Kawasaki Kisen Kaisha Ltd","Russia","Port of Brunswick, Brunswick, Georgia","Southeast Region","United States","Leningrad, Russia","Eastern Europe","Russia","","Apollon Highway","","",NA,NA,"See Container Quantities column","3957",3.957,"3957.0 kg","",NA,"","",2021-05-28
"15",38717685,"NAM3977426",2020-08-09,"Jplogistics Inc.","5820 STONERIDGE MALL RD. STE 217 PLEASANTON, CA 94588","5820 Stoneridge Mall Road","Pleasanton","California","94588","United States","39501993","Jplogistics, Inc.","CMDU - Cma Cgm","South Korea","Port of Oakland, Oakland, California","Pacific Region","United States","Inchon, South Korea","Eastern Asia","South Korea","","Ever Leader","","",1,4,"See Container Quantities column","39624",39.624,"39624.0 kg","44100",NA,"","",2020-10-29
"16",38715533,"NAM3956543",2020-08-09,"Africa Express Market","1277 WINCHESTER ROAD MEMPHIS UNITED STATES","1277 Winchester Road","Memphis","Tennessee","38116","United States","74330453","Africa Express Market","CMDU - Cma Cgm","Senegal","Georgia Ports Authority, Savannah, Georgia","Southeast Region","United States","Dakar, Senegal","Western Africa","Senegal","Memphis, Tn","Vienna Express","","",1,2,"See Container Quantities column","6600",6.6,"6600.0 kg","",NA,"","",2020-10-29
"17",50879349,"KKLUAHM018707",2020-04-29,"","","","","","","","","","KKLU - Kawasaki Kisen Kaisha Ltd","Belgium","Port of Brunswick, Brunswick, Georgia","Southeast Region","United States","Zeebrugge, Belgium","Western Europe","Belgium","","Apollon Highway","","",NA,NA,"See Container Quantities column","3984",3.984,"3984.0 kg","",NA,"","",2021-05-28
"18",32694403,"SUDU29001AKUPZMU",2020-01-01,"M & S Logositics Ltd.","6302 BROADWAY ST SUITE# 120 PEA PEARLAND TX 77581 UNITED STATES","7902 Broadway street","Pearland","Texas","77581","United States","40664719","M&S Logstics 9307 Broadway Street Suite 407 Pearland, Texas 77584","SUDU - Hamburg Sued","South Africa","Houston, Houston, Texas","Southwest Region","United States","Durban, South Africa","Southern Africa","South Africa","Houston Tx Us","Msc Judith","","",1,5,"See Container Quantities column","99889.99",99.88999,"99889.99 kg","321000",NA,"","",2020-01-22
"19",32694763,"SUDU29003AKURRMG",2020-01-01,"Globaltransol Llc","250 ENTERPRISE DRIVE KINGSTON, NY 12401 KINGSTON NEW YORK 12401","516 Broadway","Kingston","New York","12401","United States","2296023","Globaltransol L.L.C. Aaron Ct 6 Ste 678 Kingston, Ny 12401 United States","SUDU - Hamburg Sued","Costa Rica","Port of Oakland, Oakland, California","Pacific Region","United States","All Other Costa Rica West Coast Region Ports, Costa Rica","Central America","Costa Rica","Oakland Ca Us","Sealand Philadelphia","","",1,10,"See Container Quantities column","200097",200.097,"200097.0 kg","163000",NA,"","",2020-01-22
"20",38719631,"NAM3974154",2020-08-10,"Sysco International Food Group Inc.","2401 POLICE CENTER DRIVE, SUITE PLANT CITY, FL 33566 PLANT CITY FLORIDA 33566","402 East Ohio Street","Plant City","Florida","33563","United States","27816143","Sysco International Food Group,","CMDU - Cma Cgm","Morocco","Port Of Entry-Miami Seaport, Miami, Florida","Southeast Region","United States","Casablanca, Morocco","Northern Africa","Morocco","","Cma Cgm Otello","","",1,1,"See Container Quantities column","2798.6",2.7986,"2798.6 kg","",NA,"","",2020-10-29
"21",38719771,"NAM3945753",2020-08-10,"Medov Logistics","10760 NW 123RD ST MEDLEY FL 33178 US","10760 Northwest 123rd Street","Medley","Florida","33178","United States","59879798","Medov Logistics","CMDU - Cma Cgm","Italy","Port Of Entry-Miami Seaport, Miami, Florida","Southeast Region","United States","Genoa, Italy","Southern Europe","Italy","","Cma Cgm Otello","","",1,2,"See Container Quantities column","5612",5.612,"5612.0 kg","",NA,"","",2020-10-29
"22",32694883,"SUDU20003AKUT4RM",2020-01-01,"","","","","","","","","","SUDU - Hamburg Sued","Curacao","Port of Oakland, Oakland, California","Pacific Region","United States","Bullen Baai, Netherlands Antilles","Caribbean","Netherlands Antilles","Oakland Ca Us","Tokyo Express","","",1,2,"See Container Quantities column","26523",26.523,"26523.0 kg","",NA,"","",2020-01-22
"23",50879489,"KKLUTMS200415",2020-04-29,"","","","","","","","","","KKLU - Kawasaki Kisen Kaisha Ltd","Belgium","Port of Brunswick, Brunswick, Georgia","Southeast Region","United States","Zeebrugge, Belgium","Western Europe","Belgium","","Apollon Highway","","",NA,NA,"See Container Quantities column","22784",22.784,"22784.0 kg","",NA,"","",2021-05-28
"24",32694923,"SUDU29003AKUTKJN",2020-01-01,"Sunsweet Growers","901 NORTH WALTON AVENUE YUBA CITY, CA 95993","901 North Walton Avenue","Yuba City","California","95993","United States","27910614","Sunsweet Growers, Inc 901 N. Walton Avenue Yuba City, Ca 95993 Usa","SUDU - Hamburg Sued","Italy","Port of Oakland, Oakland, California","Pacific Region","United States","Genoa, Italy","Western Europe","Italy","Oakland Ca Us","Tokyo Express","","",1,12,"See Container Quantities column","117816.46",117.81646,"117816.46 kg","482000",NA,"","",2020-01-22
"25",38719991,"NAM3967170",2020-08-10,"Container Services International Inc.","INC 8411 NW 74 STREET MIAMI, FL 33166 PH:305-477-9500","Northwest 74th Street","","Florida","","United States","45815882","Container Services International,","CMDU - Cma Cgm","Saudi Arabia","Port Of Entry-Miami Seaport, Miami, Florida","Southeast Region","United States","Jeddeh, Saudi Arabia","Western Asia","Saudi Arabia","","Cma Cgm Otello","","",1,2,"See Container Quantities column","2325",2.325,"2325.0 kg","",NA,"","",2020-10-29
"26",32695663,"SUDU29001AKVP8S1",2020-01-01,"","","","","","","","","","SUDU - Hamburg Sued","Brazil","The Port of Charleston, Charleston, South Carolina","Southeast Region","United States","Sao Paulo, Brazil","South America","Brazil","Charleston Sc Us","Maersk Memphis","","",1,2,"See Container Quantities column","19190.13",19.19013,"19190.13 kg","",NA,"","",2020-01-22
"27",38597907,"SMLMPHX0B3057400",2020-08-10,"Fmc No. 18581 Nf 233 E. Shore Rd.","SUITE 208 GREAT NECK, NY 11023 TEL : 516-918-9080 FAX : 516-918-9119","","Great Neck","New York","11023","United States","87217509","Fmc No. 18581 Nf 233 E. Shore Rd.","SMLM - Sm Line Corporation","China","Port of Long Beach, Long Beach, California","Pacific Region","United States","Tsingtao, China","Eastern Asia","China","","Maersk Alfirk","","",1,120,"See Container Quantities column","",NA,"kg","",NA,"","",2020-08-28
"28",32695703,"SUDU29001AKVPKGM",2020-01-01,"Damco","9300 ARROWPOINT BLVD CHARLOTTE NORTH CAROLINA 28273","9300 Arrowpoint Boulevard","Charlotte","North Carolina","28273","United States","27757553","Damco 9300 Arrowpoint Blvd Charlotte Nc 28273","SUDU - Hamburg Sued","Brazil","The Port of Charleston, Charleston, South Carolina","Southeast Region","United States","Sao Paulo, Brazil","South America","Brazil","Charleston Sc Us","Maersk Memphis","","",1,1,"See Container Quantities column","19129",19.129,"19129.0 kg","",NA,"","",2020-01-22
"29",32695623,"SUDU29001AKVPKUP",2020-01-01,"","","","","","","","","","SUDU - Hamburg Sued","Uruguay","The Port of Charleston, Charleston, South Carolina","Southeast Region","United States","Montevideo, Uruguay","South America","Uruguay","Charleston Sc Us","Maersk Memphis","","",1,1,"See Container Quantities column","17512.6",17.5126,"17512.6 kg","75300",NA,"","",2020-01-22
"30",38597829,"SMLMPHX0B1895500",2020-08-10,"Fmc No. 18581 Nf 233 E. Shore Rd.","SUITE 208 GREAT NECK, NY 11023 TEL : 516-918-9080 FAX : 516-918-9119","","Great Neck","New York","11023","United States","87217509","Fmc No. 18581 Nf 233 E. Shore Rd.","SMLM - Sm Line Corporation","China","Port of Long Beach, Long Beach, California","Pacific Region","United States","Ningbo, China","Eastern Asia","China","","Maersk Alfirk","","",1,80,"See Container Quantities column","",NA,"kg","",NA,"","",2020-08-28
"31",32695723,"SUDU20001AKXMK2F",2020-01-01,"Manuport Logistics USA Llc","6303 BLUE LAGOON DRIVE SUITE 480MIAMI FLORIDA33126 UNITED STATES","6303 Blue Lagoon Drive","Miami","Florida","33126","United States","61362307","Manuport Logistics Usa 7955 Nw 12th St. # 309 33126 Miami, Fl Usa Tel:+1 786 786 2007","SUDU - Hamburg Sued","Brazil","Houston, Houston, Texas","Southwest Region","United States","Rio De Janeiro, Brazil","South America","Brazil","Houston Tx Us","Monte Verde","","",1,3,"See Container Quantities column","63561.44",63.56144,"63561.44 kg","",NA,"","",2020-01-22
"32",38719691,"NAM3936753",2020-08-10,"","","","","","","","","","CMDU - Cma Cgm","Algeria","Port Of Entry-Miami Seaport, Miami, Florida","Southeast Region","United States","Alger, Algeria","Northern Africa","Algeria","","Cma Cgm Otello","","",1,3,"See Container Quantities column","21800",21.8,"21800.0 kg","63400",NA,"","",2020-10-29
"33",50879389,"KKLUPAM038079",2020-04-29,"Peters And May USA Inc.","127 NORTH WALNUT ST ITASCA IL 60143","127 North Walnut Street","Itasca","Illinois","60143","United States","27959154","Peters & May Usa Inc","KKLU - Kawasaki Kisen Kaisha Ltd","Belgium","Port of Brunswick, Brunswick, Georgia","Southeast Region","United States","Zeebrugge, Belgium","Western Europe","Belgium","","Apollon Highway","","",NA,NA,"See Container Quantities column","5852",5.852,"5852.0 kg","",NA,"","",2021-05-28
"34",50879329,"KKLU524042918",2020-04-29,"Mercedes Benz","ONE MERCEDES DRIVE MONTVALE NJ 07645 UNITED STATES","12 Mercedes Drive","Montvale","New Jersey","07645","United States","27785144","Mercedes Benz Usa Llc","KKLU - Kawasaki Kisen Kaisha Ltd","Ireland","Port of Brunswick, Brunswick, Georgia","Southeast Region","United States","Dublin, Ireland","Northern Europe","Ireland","","Apollon Highway","","",NA,NA,"See Container Quantities column","16411",16.411,"16411.0 kg","",NA,"","",2021-05-28
"35",32695743,"SUDU29001AKXM2SM",2020-01-01,"","","","","","","","","","SUDU - Hamburg Sued","Colombia","Houston, Houston, Texas","Southwest Region","United States","Cartagena, Colombia","South America","Colombia","Houston Tx Us","Monte Verde","","",1,8,"See Container Quantities column","78155",78.155,"78155.0 kg","73600",NA,"","",2020-01-22
"36",34276053,"NAM4043363",2020-09-24,"","","","","","","","","","CMDU - Cma Cgm","China","New York/Newark Area, Newark, New Jersey","New York Region","United States","Shanghai, China","Eastern Asia","China","Cleveland, Oh, United State","Ever Legacy","","",1,2,"See Container Quantities column","19338",19.338,"19338.0 kg","",NA,"","",2020-10-13
"37",34275973,"NAM4036544",2020-09-24,"","","","","","","","","","CMDU - Cma Cgm","China","New York/Newark Area, Newark, New Jersey","New York Region","United States","Shanghai, China","Eastern Asia","China","Cleveland, Oh","Ever Legacy","","",1,2,"See Container Quantities column","19620",19.62,"19620.0 kg","",NA,"","",2020-10-13
"38",32695863,"SUDU29001AKXMKYD",2020-01-01,"","","","","","","","","","SUDU - Hamburg Sued","Brazil","Houston, Houston, Texas","Southwest Region","United States","Barao De Teffe, Brazil","South America","Brazil","Houston Tx Us","Monte Verde","","",1,2,"See Container Quantities column","20868.63",20.86863,"20868.63 kg","20900",NA,"","",2020-01-22
"39",32695883,"SUDU29001AKXMYLL",2020-01-01,"","","","","","","","","","SUDU - Hamburg Sued","Brazil","Houston, Houston, Texas","Southwest Region","United States","Sao Paulo, Brazil","South America","Brazil","Houston Tx Us","Monte Verde","","",1,1,"See Container Quantities column","18066.32",18.06632,"18066.32 kg","83100",NA,"","",2020-01-22
"40",32695943,"SUDU20001AKXMFFG",2020-01-01,"Manuport Logistics USA Llc","6303 BLUE LAGOON DRIVE SUITE 480MIAMI FLORIDA33126 UNITED STATES","6303 Blue Lagoon Drive","Miami","Florida","33126","United States","61362307","Manuport Logistics Usa 7955 Nw 12th St. # 309 33126 Miami, Fl Usa Tel:+1 786 786 2007","SUDU - Hamburg Sued","Brazil","Houston, Houston, Texas","Southwest Region","United States","Sao Paulo, Brazil","South America","Brazil","Houston Tx Us","Monte Verde","","",1,2,"See Container Quantities column","36796",36.796,"36796.0 kg","36000",NA,"","",2020-01-22
"41",32695963,"SUDU29001AKXMWB5",2020-01-01,"","","","","","","","","","SUDU - Hamburg Sued","Brazil","Houston, Houston, Texas","Southwest Region","United States","Sao Paulo, Brazil","South America","Brazil","Houston Tx Us","Monte Verde","","",1,1,"See Container Quantities column","22662",22.662,"22662.0 kg","175000",NA,"","",2020-01-22
"42",38598535,"SMLMPHX0B3461301",2020-08-11,"7505 Ne Ambassador Pl. Chb 4455","SUITE M PORTLAND, OR 97230 AGENT OF BLUE ANCHOR AMERICA LINE","","","","","United States","18770336","7515 Ne Ambassador Pl Ste D","SMLM - Sm Line Corporation","South Korea","Port of Portland, Portland, Oregon","Pacific Region","United States","Busan, South Korea","Eastern Asia","South Korea","","Schubert","","",1,6,"See Container Quantities column","60800",60.8,"60800.0 kg","95700",NA,"","",2020-08-31
"43",32696063,"SUDU29001AKXMUR1",2020-01-01,"","","","","","","","","","SUDU - Hamburg Sued","Colombia","Houston, Houston, Texas","Southwest Region","United States","Barranquilla, Colombia","South America","Colombia","Houston Tx Us","Monte Verde","","",1,2,"See Container Quantities column","39960",39.96,"39960.0 kg","75300",NA,"","",2020-01-22
"44",32696083,"SUDU29001AKXMUJ6",2020-01-01,"","","","","","","","","","SUDU - Hamburg Sued","Peru","Houston, Houston, Texas","Southwest Region","United States","Callao, Peru","South America","Peru","Houston Tx Us","Monte Verde","","",1,1,"See Container Quantities column","17147",17.147,"17147.0 kg","35400",NA,"","",2020-01-22
"45",32696103,"SUDU29001AKXMLRM",2020-01-01,"","","","","","","","","","SUDU - Hamburg Sued","Philippines","Houston, Houston, Texas","Southwest Region","United States","San Antonio, Chile","South America","Chile","Houston Tx Us","Monte Verde","","",1,4,"See Container Quantities column","48960",48.96,"48960.0 kg","45800",NA,"","",2020-01-22
"46",32696123,"SUDU29001AKXMMSL",2020-01-01,"","","","","","","","","","SUDU - Hamburg Sued","Philippines","Houston, Houston, Texas","Southwest Region","United States","San Antonio, Chile","South America","Chile","Houston Tx Us","Monte Verde","","",1,2,"See Container Quantities column","18737.05",18.73705,"18737.05 kg","143000",NA,"","",2020-01-22
"47",38598383,"SMLMPHX0B2951600",2020-08-11,"28075 Ferguson Rd.","JUNCTION CITY, OR 97448 USA","","Junction City","Oregon","97448","United States","87217620","28075 Ferguson Road","SMLM - Sm Line Corporation","South Korea","Port of Portland, Portland, Oregon","Pacific Region","United States","Kwangyang, South Korea","Eastern Asia","South Korea","","Schubert","","",1,10,"See Container Quantities column","117283",117.283,"117283.0 kg","",NA,"","",2020-08-31
"48",32696043,"SUDU29001AKXM65P",2020-01-01,"","","","","","","","","","SUDU - Hamburg Sued","Costa Rica","Houston, Houston, Texas","Southwest Region","United States","Cartagena, Colombia","South America","Colombia","Houston Tx Us","Monte Verde","","",1,2,"See Container Quantities column","19625",19.625,"19625.0 kg","31300",NA,"","",2020-01-22
"49",32696023,"SUDU29001AKXM4JU",2020-01-01,"","","","","","","","","","SUDU - Hamburg Sued","Australia","Houston, Houston, Texas","Southwest Region","United States","Melbourne, Australia","Australasia","Australia","Houston Tx Us","Monte Verde","","",1,2,"See Container Quantities column","3138",3.138,"3138.0 kg","",NA,"","",2020-01-22
"50",32695923,"SUDU29001AKXM63W",2020-01-01,"Lub<>Line Corp.","26010 OAK RIDGE DRIVE THE WOODLANDS TX 77380","26010 Oak Ridge Drive","Spring","Texas","77380","United States","33708749","Lubline Llc 26010 Oak Ridge Dr. Suite 201 The Woodlands Texas 77380 United States","SUDU - Hamburg Sued","Brazil","Houston, Houston, Texas","Southwest Region","United States","Sao Paulo, Brazil","South America","Brazil","Houston Tx Us","Monte Verde","","",1,1,"See Container Quantities column","22433",22.433,"22433.0 kg","",NA,"","",2020-01-22
"51",34276153,"NAM4013075",2020-09-24,"","","","","","","","","","CMDU - Cma Cgm","South Korea","New York/Newark Area, Newark, New Jersey","New York Region","United States","Busan, South Korea","Eastern Asia","South Korea","","Ever Legacy","","",1,1,"See Container Quantities column","3641",3.641,"3641.0 kg","",NA,"","",2020-10-13
"52",34270533,"CIWB3797217",2020-09-24,"","","","","","","","","","HDMU - Hyundai Merchant Marine","China","The Port of Los Angeles, Los Angeles, California","Pacific Region","United States","Shanghai, China","Eastern Asia","China","Chicago, Il","Ym Ubiquity","","",1,2,"See Container Quantities column","18313",18.313,"18313.0 kg","92000",NA,"","",2020-10-13
"53",34285353,"SUDU20001APBL1UG",2020-09-26,"","","","","","","","","","SUDU - Hamburg Sued","Argentina","Houston, Houston, Texas","Southwest Region","United States","Buenos Aires, Argentina","South America","Argentina","Houston Tx Us","Msc Methoni","","",1,2,"See Container Quantities column","13182",13.182,"13182.0 kg","49400",NA,"","",2020-10-18
"54",38598495,"SMLMPHX0B2952700",2020-08-11,"28075 Ferguson Rd.","JUNCTION CITY, OR 97448 USA","","Junction City","Oregon","97448","United States","87217620","28075 Ferguson Rd.","SMLM - Sm Line Corporation","South Korea","Port of Portland, Portland, Oregon","Pacific Region","United States","Kwangyang, South Korea","Eastern Asia","South Korea","","Schubert","","",1,10,"See Container Quantities column","116620",116.62,"116620.0 kg","",NA,"","",2020-08-31
"55",32695803,"SUDU29001AKP4ADX",2020-01-01,"","","","","","","","","","SUDU - Hamburg Sued","Argentina","Houston, Houston, Texas","Southwest Region","United States","Buenos Aires, Argentina","South America","Argentina","Houston Tx Us","Monte Verde","","",1,1,"See Container Quantities column","15116.07",15.11607,"15116.07 kg","42800",NA,"","",2020-01-22
"56",38598503,"SMLMPHX0B2631100",2020-08-11,"33757 Columbus Street Se","ALBANY OREGON 97322 UNITED STATES","","Albany","Oregon","","United States","87456676","33757 Columbus Street Se","SMLM - Sm Line Corporation","South Korea","Port of Portland, Portland, Oregon","Pacific Region","United States","Kwangyang, South Korea","Eastern Asia","South Korea","","Schubert","","",1,20,"See Container Quantities column","224627",224.627,"224627.0 kg","",NA,"","",2020-08-31
"57",38598543,"SMLMPHX0B3908200",2020-08-11,"5816 Corporate Ave., Ste. 150","CYPRESS, CA 90630 TEL: 714 821 8200","","","","","China","45833346","5816 Corporate Ave., Ste 150,","SMLM - Sm Line Corporation","South Korea","Port of Portland, Portland, Oregon","Pacific Region","United States","Busan, South Korea","Eastern Asia","South Korea","","Schubert","","",1,2,"See Container Quantities column","20363",20.363,"20363.0 kg","",NA,"","",2020-08-31
"58",38598583,"SMLMPHX0B2632200",2020-08-11,"33757 Columbus Street Se","ALBANY OREGON 97322 UNITED STATES","","Albany","Oregon","","United States","87456676","33757 Columbus St Se","SMLM - Sm Line Corporation","South Korea","Port of Portland, Portland, Oregon","Pacific Region","United States","Busan, South Korea","Eastern Asia","South Korea","","Schubert","","",1,20,"See Container Quantities column","228112",228.112,"228112.0 kg","",NA,"","",2020-08-31
"59",32696263,"SUDU29001AKVAUMA",2020-01-01,"Atec Logistics Llc Nvocc For","2170 W STATE ROAD 434 LONGWOOD FLORIDA 32779","2170 West State Road 434","Longwood","Florida","32779","United States","67133425","Atec Logistics Llc Nvocc For Blue Line Food Service 2170 West Sr 434. Suite 400 Longwood, Fl 32779 United States Fmc: 021598 F","SUDU - Hamburg Sued","Peru","Port Of Entry-Port Everglades/Fort Lauderdale, Port Everglades, Florida","Southeast Region","United States","Callao, Peru","South America","Peru","Port Everglades F","Dublin Express","","",1,2,"See Container Quantities column","19444.48",19.44448,"19444.48 kg","",NA,"","",2020-01-22
"60",38598371,"SMLMPHX0B4192500",2020-08-11,"Sm Line Corporation 25","GUKJEGEUMYUNG-RO 2-GIL, YEONGDEUNGPO-GU, SEOUL, KOREA","","","","","United States","87196335","Sm Line Corporation, 25","SMLM - Sm Line Corporation","China","Port of Portland, Portland, Oregon","Pacific Region","United States","Shanghai, China","Eastern Asia","China","","Schubert","","",NA,NA,"See Container Quantities column","",NA,"kg","",NA,"","",2020-08-31
"61",38598491,"SMLMPHX0B2633300",2020-08-11,"33757 Columbus Street Se","ALBANY OREGON 97322 UNITED STATES","","Albany","Oregon","","United States","87456676","33757 Columbus Street Se","SMLM - Sm Line Corporation","South Korea","Port of Portland, Portland, Oregon","Pacific Region","United States","Kwangyang, South Korea","Eastern Asia","South Korea","","Schubert","","",1,10,"See Container Quantities column","107483",107.483,"107483.0 kg","",NA,"","",2020-08-31
"62",38598551,"SMLMPHX0B3111200",2020-08-11,"175 West H Street","HALSEY,OR 97348 USA","","Halsey","Oregon","97348","United States","18761664","175 West H Street","SMLM - Sm Line Corporation","South Korea","Port of Portland, Portland, Oregon","Pacific Region","United States","Busan, South Korea","Eastern Asia","South Korea","","Schubert","","",1,4,"See Container Quantities column","46565.36",46.56536,"46565.36 kg","152000",NA,"","",2020-08-31
