"","panjivarecordid","billofladingnumber","arrivaldate","conname","confulladdress","conroute","concity","constateregion","conpostalcode","concountry","conpanjivaid","conoriginalformat","shpname","shpfulladdress","shproute","shpcity","shpstateregion","shppostalcode","shpcountry","shppanjivaid","shporiginalformat","carrier","notifyparty","notifypartyscac","billofladingtype","masterbillofladingnumber","shpmtorigin","shpmtdestination","shpmtdestinationregion","portofunlading","portofunladingregion","portoflading","portofladingregion","portofladingcountry","placeofreceipt","transportmethod","vessel","vesselvoyageid","vesselimo","iscontainerized","volumeteu","quantity","measurement","weightkg","weightt","weightoriginalformat","valueofgoodsusd","frob","manifestnumber","inbondcode","numberofcontainers","haslcl","filedate"
"11",184111918,"HDMUQSWB8411414",2020-01-01,"Target Custom Brokers Inc.","7000 TARGET PARKWAY NORTH NCD 4452 BROOKLYN PARK MN 55445","7000 Target Parkway","Brooklyn Park","Minnesota","55445","United States",33597707,"","","","","","","","",NA,"","HDMU - Hyundai Merchant Marine","TARGET CUSTOMS BROKERS INC. 33 SOUTH 6TH STREET, TCBI, MINNEAPOLIS, MN 55402 USA, TEL: 763-405-0296, TEFAX: 612-304-3113","","Simple","","China","Port of Tacoma, Tacoma, Washington","Pacific Region","Port of Tacoma, Tacoma, Washington","Pacific Region","Shanghai, China","Eastern Asia","China","SHANGHAI, CHINA","Maritime","HYUNDAI INTEGRAL","0089E",9347592,1,0.6,"220 CTN","",1320,1.32,"1320 KG",NA,NA,1,"",1,NA,2020-01-02
"12",184111928,"HDMUQSWB8411424",2020-01-01,"Target Custom Brokers Inc.","7000 TARGET PARKWAY NORTH NCD 4452 BROOKLYN PARK MN 55445","7000 Target Parkway","Brooklyn Park","Minnesota","55445","United States",33597707,"","","","","","","","",NA,"","HDMU - Hyundai Merchant Marine","TARGET CUSTOMS BROKERS INC. 33 SOUTH 6TH STREET, TCBI, MINNEAPOLIS, MN 55402 USA, TEL: 763-405-0296, TEFAX: 612-304-3113","W555","Simple","","China","Port of Tacoma, Tacoma, Washington","Pacific Region","Port of Tacoma, Tacoma, Washington","Pacific Region","Shanghai, China","Eastern Asia","China","SHANGHAI, CHINA","Maritime","HYUNDAI INTEGRAL","0089E",9347592,1,1.35,"400 CTN","",3640,3.64,"3640 KG",NA,NA,1,"",1,NA,2020-01-02
"13",184111938,"HDMUQSWB8411439",2020-01-01,"Target Custom Brokers Inc.","7000 TARGET PARKWAY NORTH NCD 4452 BROOKLYN PARK MN 55445","7000 Target Parkway","Brooklyn Park","Minnesota","55445","United States",33597707,"","","","","","","","",NA,"","HDMU - Hyundai Merchant Marine","TARGET CUSTOMS BROKERS INC. 33 SOUTH 6TH STREET, TCBI, MINNEAPOLIS, MN 55402 USA, TEL: 763-405-0296, TEFAX: 612-304-3113","","Simple","","China","Port of Tacoma, Tacoma, Washington","Pacific Region","Port of Tacoma, Tacoma, Washington","Pacific Region","Shanghai, China","Eastern Asia","China","SHANGHAI, CHINA","Maritime","HYUNDAI INTEGRAL","0089E",9347592,1,2,"84 CTN","",4318,4.318,"4318 KG",NA,NA,1,"",1,NA,2020-01-02
"14",184111948,"HDMUQSWB8411447",2020-01-01,"Target Custom Brokers Inc.","7000 TARGET PARKWAY NORTH NCD 4452 BROOKLYN PARK MN 55445","7000 Target Parkway","Brooklyn Park","Minnesota","55445","United States",33597707,"","","","","","","","",NA,"","HDMU - Hyundai Merchant Marine","TARGET CUSTOMS BROKERS INC. 33 SOUTH 6TH STREET, TCBI, MINNEAPOLIS, MN 55402 USA, TEL: 763-405-0296, TEFAX: 612-304-3113","W555","Simple","","China","Port of Tacoma, Tacoma, Washington","Pacific Region","Port of Tacoma, Tacoma, Washington","Pacific Region","Shanghai, China","Eastern Asia","China","SHANGHAI, CHINA","Maritime","HYUNDAI INTEGRAL","0089E",9347592,1,0.32,"453 CTN","",906,0.906,"906 KG",4100,NA,1,"",1,NA,2020-01-02
"15",197362344,"ONEYTYOA90643800",2020-10-18,"American Honda Motor Co. Inc.","1919 TORRANCE BOULEVARD TORRANCE, CA 90501","1919 Torrance Boulevard","Torrance","California","90501","United States",27836926,"","","","","","","","",NA,"","ONEY - Ocean Network Express Pte Ltd","1) AMERICAN HONDA MOTOR CO., INC. 151 COMMERCE CENTER BOULEVARD TROY,, OH OH 45373 US","Y790","Simple","","Japan","The Port of Los Angeles, Los Angeles, California","Pacific Region","The Port of Los Angeles, Los Angeles, California","Pacific Region","Nagoya, Japan","Eastern Asia","Japan","YOKKAICHI, MIE","Maritime","NYK VENUS","066E",9312793,1,10,"226 PKG","312 CM",18070,18.07,"18070 KG",NA,NA,1,"",5,NA,2020-10-19
"16",189777098,"AHGASSZ20030114",2020-05-17,"Eucatex Of North America Inc.","2500 NORTHWIDS PARKWAY GEORGIA - ALPHARETTA - 30009 EUAARETTA - 30009 EUA","2550 Northwinds Parkway","Alpharetta","Georgia","30004","United States",1981104,"EUCATEX OF NORTH AMERICA 11475 GREAT OAKS WAY STE 310 ALPHARETTA GA30022 US TE+16786240160","Ectx Industries E Comercio Ltda","ECTX INDUSTRIAE COMERCIO LTDAESTR ADA MUNICIPAL BOTUCATU ITATINGA PAU LA SOUZA - BOTUCATU/SP - BRASIL CEP : 18603-970 CNPJ: 77.769.388/0014-3","383 Avenida Doutor Vital Brasil","","São Paulo","18603-193","Brazil",66993093,"ECTX INDUSTRIA E COMERCIO LTDA S/N - KM 12 PARTE PAULA SOUZA BOTUCATU BR TE+551139492174","AHGA - Asia Shipping Usa Inc","EUCATEX OF NORTH AMERICA 11475 GREAT OAKS WAY STE 310, ALPHARETTA GA30022 US FX+16786240621  ;  EUCATEX OF NORTH AMERICA 11475 GREAT OAKS WAY STE 310, ALPHARETTA GA30022 US TE+16786240160","MEDU - Msc Meditterranean Shipping Company Sa","House","MEDUST010973","Brazil","Baltimore, Maryland","Northeast Region","Baltimore, Maryland","Northeast Region","Sao Paulo, Brazil","South America","Brazil","SANTOS","Maritime","MSC FIAMMETTA","015R",9369758,1,8,"7600 SHT","1 CM",83526,83.526,"83526 KG",NA,NA,1,"",4,NA,2020-05-18
"17",197368824,"DCSD4551320B",2020-10-18,"","","","","","","",NA,"","","","","","","","",NA,"","DCSD - Del Corona Scardigli","","CMDU - Cma Cgm","House","CMDUGEN1174642B","Italy","New York/Newark Area, Newark, New Jersey","New York Region","New York/Newark Area, Newark, New Jersey","New York Region","La Spezia, Italy","Southern Europe","Italy","LA SPEZIA ITALY","Maritime","CMA CGM NABUCCO","6RW",9299630,1,2,"3338 PKG","",21450,21.45,"21450 K",NA,NA,1,"",1,NA,2020-10-19
"18",184111998,"HDMUCQOR0259126",2020-01-01,"Richardson Cap","500 INTERNATIONAL WAY SPRINGFIELD OR 97477 USA","500 International Way","Springfield","Oregon","97477","United States",10347640,"RICHARDSON CAP COMPANY 500 INTERNATIONAL WAY SPRINGFIELD,OR 97477,USA ATTN:CORBY BRAUNGER TETEL:(541)6871818_EXT:110","Exsaco Ltd.","SA 63 64 6 & RS 91 94 6 MOUJA: DOMNA & DOKKHINBAROIBARI KASHIMPUR GAZIPUR SADOR DHAKA TEBANGLADESH","","Kashimpur","Dhaka Division","","Bangladesh",69842849,"EXSACO LTD. SA 63,64,6 & RS 91, 94,6 MOUJA:DOMNA & DOKKHINBAROIBARI KASHIMPUR, GAZIPUR SADOR TEDHAKA,BANGLADESH","HDMU - Hyundai Merchant Marine","RICHARDSON SPORTS,INC P.O.BOX 71130, 500 INTERNATIONAL WAY,SPRINGFIELD,, OR 97477,USA, TEATTN:MR PAUL BLINT","","Simple","","Bangladesh","Port of Portland, Portland, Oregon","Pacific Region","Port of Tacoma, Tacoma, Washington","Pacific Region","Shanghai, China","Eastern Asia","China","CHITTAGONG, BANGL","Maritime","HYUNDAI INTEGRAL","0089E",9347592,1,2,"450 CTN","",7767,7.767,"7767 KG",NA,NA,1,"Immediate Transportation (IT)",1,NA,2020-01-02
"19",197314074,"CMDUSHZ2996207G",2020-10-18,"Expeditors International","245 ROGER AV INWOOD NY 11096 USA","245 Roger Avenue","Inwood","New York","11096","United States",89456324,"","","","","","","","",NA,"","CMDU - Cma Cgm","Expeditors International 19119 16TH AVE SOUTH, SEATAC, WA 98188, ATTN: ANDREW PHILLIPS, TE206-407-2921","","Simple","","China","Alabama State Port Authority, Mobile, Alabama","South Central Region","Alabama State Port Authority, Mobile, Alabama","South Central Region","Shekou, China","Eastern Asia","China","SHEKOU","Maritime","CMA CGM BIANCA","0PG7Q",9436367,1,0.32,"258 PCS","",5605,5.61,"5605 KG",24100,NA,1,"",1,NA,2020-10-19
"20",197315144,"CMDUTWN0418204",2020-10-17,"","","","","","","",NA,"","","","","","","","",NA,"","CMDU - Cma Cgm","","","Simple","","Taiwan","New York/Newark Area, Newark, New Jersey","New York Region","New York/Newark Area, Newark, New Jersey","New York Region","Kaohsiung, Taiwan","Eastern Asia","Taiwan","KAOHSIUNG","Maritime","TAMPA TRIUMPH","0TS78",9737462,1,2,"1100 PCS","",26325,26.33,"26325 KG",47300,NA,1,"",1,NA,2020-10-19
"21",184112008,"HDMUCQVC0258946",2020-01-01,"Dhaka Bank Ltd.","DHAKA BANK LTD. GULSHAN BRANCH 24 GULSHAN AV GULSHAN-1 DHAKA-1212 BANGLADESH","Kazi Nazrul Islam Avenue","Dhaka","Dhaka Division","1215","Bangladesh",36155154,"UNTO THE ORDER OF: DHAKA BANK LIMITED GULSHAN BRANCH,PLOT 7,BLOCK SE(D HOLDING #24 GULSHAN AVENUE,GULSHAN- TEDHAKA-1212,BANGLADESH","Apm Global Logistics Bangladesh Ltd.","58 AGRABAD COMMERCIAL AREA 3RD FLOOR AGRABAD CHITTAGONG BANGLADESH","","","","","Bangladesh",33604478,"APM GLOBAL LOGISTICS BANGLADESH LTD ON BEHALF OF NAFA APPARELS LIMITED GROUND FLOOR TO 6TH FLOOR,HIJOLHATI TEBARAIPARA,KALIAKAIR, GAZIPUR 1349","HDMU - Hyundai Merchant Marine","WAL-MART CANADA CORP. 1940, ARGENTIA ROAD, MISSISSAUGA ONTARIO, L5N 1P9 CANADA","","Simple","","Bangladesh","Port of Tacoma, Tacoma, Washington","Pacific Region","Port of Tacoma, Tacoma, Washington","Pacific Region","Shanghai, China","Eastern Asia","China","CHITTAGONG","Maritime","HYUNDAI INTEGRAL","0089E",9347592,1,0.02,"58 CTN","",87,0.087,"87 KG",860,1,1,"",1,1,2020-01-02
"22",197232774,"CMDUDJA0538429D",2020-10-15,"Expeditors International","245 ROGER AV INWOOD NY 11096 USA","245 Roger Avenue","Inwood","New York","11096","United States",89456324,"","","","","","","","",NA,"","CMDU - Cma Cgm","Expeditors International 19119 16TH AVENUE SOUTH, DISPATCH TEL 206-826-4100, SEATTLE WA 98188, TEUNITED STATES","","Simple","","Singapore","Alabama State Port Authority, Mobile, Alabama","South Central Region","Alabama State Port Authority, Mobile, Alabama","South Central Region","Singapore, Singapore","South-Eastern Asia","Singapore","SEMARANG","Maritime","CMA CGM MELISANDE","0PG7O",9473028,1,6,"3411 PCS","1 CM",56426,56.43,"56426 KG",286000,NA,1,"",3,NA,2020-10-17
"23",197375974,"MAEU204688036",2020-10-18,"All Auto Body Parts","DISTRIBUTORS PR 00956 CARR. 174 KM 8.8 BO. GUARAGUAO BAYAMON PUERTO RICO","174","","Guaynabo","","Puerto Rico",45749284,"ALL AUTO BODY & LAMP, LLC. URB HERMANAS DAVILA D19,AVE BETANCES BAYAMON, PUERTO RICO. 00959 SSN# 660865507 MRN# 06804380018 1-7877402037","Auto Parts Industries Ltd.","NO.456 SEC.2 KWOLING RD. 7 LIN KWO LING LI JHONGLI CITY TAOYUAN COUNTY 320 TAIWAN (R.O.C","","","Taoyuan City","","Taiwan",33661254,"Auto Parts Industrial Ltd. No. 456, Sec. 2, Kwoling Road 7 Lin, Kwo Ling Li Jhongli Taoyuan 320 Taiwan","MAEU - Maersk Line","ALL AUTO BODY & LAMP, LLC. URB HERMANAS DAVILA D19,AVE BETANCES, BAYAMON, PUERTO RICO. 00959, SSN# 660865507 MRN# 06804380018, 1-7877402037","MAEU - Maersk Line","House","MAEU204519206","Taiwan","San Juan, San Juan, Puerto Rico","Southeast Region","San Juan, San Juan, Puerto Rico","Southeast Region","Manzanillo, Panama","Central America","Panama","TAO YUAN","Maritime","AS ANGELINA","2042",9357092,1,2,"951 CTN","65 CM",5707.55,5.71,"12583 LB",NA,NA,1,"",1,NA,2020-10-19
"24",197311794,"ASFNSZ20090066",2020-10-18,"","","","","","","",NA,"","","","","","","","",NA,"","ASFN - Asf Global Llc","","CMDU - Cma Cgm","House","CMDUHKA1908321","China","Alabama State Port Authority, Mobile, Alabama","South Central Region","Alabama State Port Authority, Mobile, Alabama","South Central Region","Shekou, China","Eastern Asia","China","SHEKOU,CHINA","Maritime","CMA CGM BIANCA","0PG7P",NA,1,4,"239 PKG","1 X",4018,4.02,"4018 K",NA,NA,1,"",2,NA,2020-10-19
"25",184112048,"HDMUCQVC0259029",2020-01-01,"Dhaka Bank Ltd.","DHAKA BANK LTD. GULSHAN BRANCH 24 GULSHAN AV GULSHAN-1 DHAKA-1212 BANGLADESH","Kazi Nazrul Islam Avenue","Dhaka","Dhaka Division","1215","Bangladesh",36155154,"UNTO THE ORDER OF: DHAKA BANK LIMITED GULSHAN BRANCH,PLOT 7,BLOCK SE(D HOLDING #24 GULSHAN AVENUE,GULSHAN- TEDHAKA-1212,BANGLADESH","Apm Global Logistics Bangladesh Ltd.","58 AGRABAD COMMERCIAL AREA 3RD FLOOR AGRABAD CHITTAGONG BANGLADESH","","","","","Bangladesh",33604478,"APM GLOBAL LOGISTICS BANGLADESH LTD ON BEHALF OF NAFA APPARELS LIMITED GROUND FLOOR TO 6TH FLOOR,HIJOLHATI TEBARAIPARA,KALIAKAIR, GAZIPUR 1349","HDMU - Hyundai Merchant Marine","WAL-MART CANADA CORP. 1940, ARGENTIA ROAD, MISSISSAUGA ONTARIO, L5N 1P9 CANADA","","Simple","","Bangladesh","Port of Tacoma, Tacoma, Washington","Pacific Region","Port of Tacoma, Tacoma, Washington","Pacific Region","Shanghai, China","Eastern Asia","China","CHITTAGONG","Maritime","HYUNDAI INTEGRAL","0089E",9347592,1,0.09,"240 CTN","",360,0.36,"360 KG",NA,1,1,"",1,NA,2020-01-02
"26",197371114,"MEDUZ0267480",2020-10-17,"Ikea Distribution Services","100 IKEA WAY WESTAMPTON NJ 08060 UNITED STATES OF AMERICA","100 Ikea Drive","Westampton","New Jersey","08060","United States",46006162,"IKEA SUPPLY AG 100 IKEA DRIVE WESTAMPTON NJ 08060 UNITED STATES","Jiangmen Pengjiang Zhishan Hardware Mfg. Co., Ltd.","Qing Nian Road, Chao Lian Suburb, Jiangmen, Guangdong, China, 529090","","Jiangmen","Guangdong","529090","China",33821401,"JIANGMEN PENGJIANG ZHISHAN HARDWARE Qing Nian Road Chao Lian Suburb Jiangmen Guangdong 529090 China","MEDU - Msc Meditterranean Shipping Company Sa","IKEA PURCHASING SERVICES (US) INC 3200 HORIZON DR. #120 SUITE G10, KING OF PRUSSIA PA 19406 UNITED STA  ;  GEODIS USA, INC. THE NAVY YARD 5101 S. BROAD STREET, PHILADELPHIA PA 19112 UNITED STATES","","Simple","","China","Philadelphia Regional Port Authority, Philadelphia, Pennsylvania","Northeast Region","Philadelphia Regional Port Authority, Philadelphia, Pennsylvania","Northeast Region","Bremerhaven, Germany","Western Europe","Germany","YANTIAN","Maritime","MSC VAISHNAVI R.","040W",9227340,1,2,"4086 PKG","65 X",12217,12.22,"12217 K",NA,NA,1,"",1,NA,2020-10-19
"27",197304404,"EGLV100080068525",2020-10-18,"","","","","","","",NA,"","","","","","","","",NA,"","EGLV - Evergreen Line","","","Simple","","Malaysia","The Port of Los Angeles, Los Angeles, California","Pacific Region","The Port of Los Angeles, Los Angeles, California","Pacific Region","Kajang, Malaysia","South-Eastern Asia","Malaysia","JODHPUR","Maritime","CMA CGM T. JEFFERSON","0TUDR",9780861,1,2,"147 PKG","66 X",9117,9.12,"9117 K",NA,NA,1,"",1,NA,2020-10-19
"28",197341514,"COSU6275807670",2020-10-17,"Fedex Trade Networks Transport","19601 HAMILTON AV TORRANCE CA 90502","19601 Hamilton Avenue","Torrance","California","90502","United States",27803860,"","","","","","","","",NA,"","COSU - Cosco Shipping Lines Co Ltd","SCHNEIDER LOGISTICS 1555 GLORY ROAD, GREEN BAY WI 54304, UNITED STATES, TE5924231  ;  FEDEX TRADE NETWORKS TRANSPORT & BR 1101 BUSSE ROAD, ELK GROVE VILLAGE IL 60007, UNITED STATES, TE3509833","","Simple","","China","Port of Seattle, Seattle, Washington","Pacific Region","Port of Seattle, Seattle, Washington","Pacific Region","Xiamen, China","Eastern Asia","China","XIAMEN","Maritime","CMA CGM MEKONG","0TN27",9718105,1,1.25,"500 CTN","40 CM",2555,2.56,"2555 KG",NA,NA,590204,"",1,NA,2020-10-19
"29",197275594,"CHSL333784115HAM",2020-10-16,"Mitsubishi Caterpillar Forklift","5151 W 76TH ST INDIANAPOLIS IND 46268","5151 West 76th Street","Indianapolis","Indiana","46268","United States",44220246,"MITSUBISHI CATERPILLAR 2011 W SAM HOUSTON PKWY N FORKLIFT AMERICA HOUSTON TX77043 US","Jungheinrich Landsberg AG & Co. Kg","BAHNHOFSTR. 27 LANDSBERG 06188 DE","27 Bahnhofstraße","Landsberg","Sachsen-Anhalt","06188","Germany",45924896,"JUNGHEINRICH LANDSBERG AG   CO KG BITTERFELDER STR. 2 06188 LANDSBERG LANDSBERG BA06188 DE","CHSL - Christal Lines","","OOLU - Orient Overseas Container Line Ltd","House","OOLU2647221520","Germany","New York/Newark Area, Newark, New Jersey","New York Region","New York/Newark Area, Newark, New Jersey","New York Region","Bremerhaven, Germany","Western Europe","Germany","HALLE  SAALE  DE","Maritime","COSCO VIETNAM","064W",9448815,1,2,"22 PKG","",9218,9.22,"9218 KG",NA,NA,506173,"",1,NA,2020-10-17
